Date,Open,High,Low,Close,Volume
2013-12-20,28912,29299,28757,29067,443790
2013-12-23,29261,29958,29222,29958,532387
2013-12-24,30152,30540,29842,29958,402575
2013-12-26,30152,30191,29454,29493,513235
2013-12-27,29892,30490,29812,30450,277464
2013-12-30,30410,30609,30251,30569,210316
2014-01-02,30888,31367,30649,30729,399548
2014-01-03,31805,32921,31725,32602,1283322
2014-01-06,32801,32801,32084,32283,346786
2014-01-07,32283,34754,32243,34515,1377761
2014-01-08,34834,39298,34515,37784,3617740
2014-01-09,37664,38063,35950,36668,2044918
2014-01-10,37146,37704,35910,36668,1450711
2014-01-13,36309,37265,36309,37026,591073
2014-01-14,36747,36907,35990,35990,756940
2014-01-15,36548,38421,36548,36787,2151388
2014-01-16,37265,37903,36269,36269,1346123
2014-01-17,36508,37305,35711,36389,1028468
2014-01-20,36110,36548,35751,35950,464942
2014-01-21,36070,36389,35751,35990,399323
2014-01-22,36030,36110,35432,35711,448362
2014-01-23,35472,36468,35153,36110,534401
2014-01-24,36747,37265,35870,35870,1023015
2014-01-27,35233,35432,34037,34037,808163
2014-01-28,34196,35233,33559,34754,549313
2014-01-29,35432,36269,35233,35671,612862
2014-02-03,35153,35552,34675,34914,426267
2014-02-04,34117,34675,34117,34396,340539
2014-02-05,34196,34555,32124,32283,1093822
2014-02-06,32124,33280,32084,33240,550549
2014-02-07,33638,33758,33160,33359,292067
2014-02-10,33638,34356,33359,34196,347918
2014-02-11,34077,34196,33519,33718,347465
2014-02-12,34117,34157,33718,33957,236741
2014-02-13,33957,34555,33957,34276,301399
2014-02-14,34555,34555,34117,34196,203063
2014-02-17,34077,34316,33718,33997,249237
2014-02-18,34356,36269,34316,35631,1249382
2014-02-19,36030,38979,35552,38142,3029490
2014-02-20,38381,38501,36787,37066,1220562
2014-02-21,37385,38102,36907,37505,685423
2014-02-24,37784,38700,37505,37584,763224
2014-02-25,37903,38102,37186,37784,432730
2014-02-26,37624,38182,36787,37584,646804
2014-02-27,37505,38461,37505,37704,589714
2014-02-28,37823,38262,37664,38222,558339
